id,relid,year,active_year,code_status,type_of_violence,conflict_dset_id,conflict_new_id,conflict_name,dyad_dset_id,dyad_new_id,dyad_name,side_a_dset_id,side_a_new_id,side_a,side_b_dset_id,side_b_new_id,side_b,number_of_sources,source_article,source_office,source_date,source_headline,source_original,where_prec,where_coordinates,where_description,adm_1,adm_2,latitude,longitude,geom_wkt,priogrid_gid,country,country_id,region,event_clarity,date_prec,date_start,date_end,deaths_a,deaths_b,deaths_civilians,deaths_unknown,best_est,high_est,low_est
52695,,1999,True,Clear,1,218,218,Government of India-Government of Pakistan,422,422,Government of India - Government of Pakistan,141,141,Government of India,142,142,Government of Pakistan,-1,"Singh, Amarinder.  ""A Ridge Too Far:  War in the Kargil Heights 1999"".",,,,,1,Pt 4875,Pt 4875,Jammu and Kashmir State,Kargil district,34.457500,75.629722,POINT (75.629722 34.457500),179072,India,750,Asia,1,1,07/05/1999 00:00:00,07/05/1999 00:00:00,1,10,0,0,11,11,11,
52702,,1999,True,Clear,1,218,218,Government of India-Government of Pakistan,422,422,Government of India - Government of Pakistan,141,141,Government of India,142,142,Government of Pakistan,-1,"Singh, Amarinder.  ""A Ridge Too Far:  War in the Kargil Heights 1999"".",,,,,1,Tololing mountain,Tololing (Pt. 4590),Jammu and Kashmir State,Kargil district,34.464166,75.795833,POINT (75.795833 34.464166),179072,India,750,Asia,1,1,06/03/1999 00:00:00,06/03/1999 00:00:00,6,5,0,0,11,11,11,
52723,,2003,True,Clear,1,218,218,Government of India-Government of Pakistan,422,422,Government of India - Government of Pakistan,141,141,Government of India,142,142,Government of Pakistan,1,"""BBC Monitoring South Asia,2003-02-18,Indian army porters reported dead in Pakistan shelling.""",BBC Monitoring South Asia,2003-02-18,Indian army porters reported dead in Pakistan shelling.,,2,Sawajian village,"Sawjian sector, Jammu",Jammu and Kashmir State,Poonch district,33.845177,74.284996,POINT (74.284996 33.845177),178349,India,750,Asia,1,1,02/17/2003 00:00:00,02/17/2003 00:00:00,0,0,2,0,2,2,2,
52725,,1993,False,Clear,1,218,218,Government of India-Government of Pakistan,422,422,Government of India - Government of Pakistan,141,141,Government of India,142,142,Government of Pakistan,-1,R 16/12 1993,,,,Foreign ministry spokesman,4,Jammu and Kashmir State,Kashmir,Jammu and Kashmir State,,33.916670,76.666670,POINT (76.666670 33.916670),178354,India,750,Asia,2,2,12/13/1993 00:00:00,12/16/1993 00:00:00,0,0,2,0,2,2,2,
52757,,1999,True,Clear,1,218,218,Government of India-Government of Pakistan,422,422,Government of India - Government of Pakistan,141,141,Government of India,142,142,Government of Pakistan,-1,"Singh, Amarinder.  ""A Ridge Too Far:  War in the Kargil Heights 1999"".",,,,,1,Pt 5203,Pt 5203,Jammu and Kashmir State,Kargil district,34.704549,76.489004,POINT (76.489004 34.704549),179793,India,750,Asia,3,2,06/20/1999 00:00:00,06/21/1999 00:00:00,19,18,0,0,37,37,37,
52783,,1995,False,Clear,1,218,218,Government of India-Government of Pakistan,422,422,Government of India - Government of Pakistan,141,141,Government of India,142,142,Government of Pakistan,-1,R 24/10 1995,,,,Residents,2,Athmuqam town,Athmuqam sector,Azad Jammu & Kashmir,Neelam District,34.571730,73.897240,POINT (73.897240 34.571730),179788,Pakistan,770,Asia,1,1,10/23/1995 00:00:00,10/23/1995 00:00:00,0,0,2,0,2,2,2,
52788,,1999,True,Clear,1,218,218,Government of India-Government of Pakistan,422,422,Government of India - Government of Pakistan,141,141,Government of India,142,142,Government of Pakistan,-1,"Singh, Amarinder.  ""A Ridge Too Far:  War in the Kargil Heights 1999"".",,,,,1,Tiger Hill,Tiger Hill,Jammu and Kashmir State,Kargil district,34.484389,75.658389,POINT (75.658389 34.484389),179072,India,750,Asia,1,1,06/06/1999 00:00:00,06/06/1999 00:00:00,1,0,0,0,1,1,1,
52789,,1999,True,Clear,1,218,218,Government of India-Government of Pakistan,422,422,Government of India - Government of Pakistan,141,141,Government of India,142,142,Government of Pakistan,-1,"Singh, Amarinder.  ""A Ridge Too Far:  War in the Kargil Heights 1999"".",,,,,2,Khalubar hill,Khalubar South (Khalubar Ridge),Jammu and Kashmir State,Kargil district,34.710000,76.550000,POINT (76.550000 34.710000),179794,India,750,Asia,1,1,07/05/1999 00:00:00,07/05/1999 00:00:00,0,3,0,0,3,3,3,
52793,,2003,True,Clear,1,218,218,Government of India-Government of Pakistan,422,422,Government of India - Government of Pakistan,141,141,Government of India,142,142,Government of Pakistan,2,"""Reuters News,2003-02-25,Three said killed in Indian firing in Kashmir."";""Agence France-Presse,2003-02-25,Three killed in Indian shelling of Pakistani Kashmir: police""",Reuters News;Agence France-Presse,2003-02-25;2003-02-25,Three said killed in Indian firing in Kashmir.;Three killed in Indian shelling of Pakistani Kashmir: police,Police,1,Leswa village,"Laiswa (Lesva) village, Neelum valley, some 70 km (44 miles) northeast of Muzaffarabad, capital of Pakistani Kashmir",Azad Jammu & Kashmir,Neelam District,34.464702,73.785890,POINT (73.785890 34.464702),179068,Pakistan,770,Asia,1,1,02/25/2003 00:00:00,02/25/2003 00:00:00,0,0,3,0,3,3,3,
52796,,2003,True,Clear,1,218,218,Government of India-Government of Pakistan,422,422,Government of India - Government of Pakistan,141,141,Government of India,142,142,Government of Pakistan,2,"""Associated Press Newswires,2003-10-22,Five Pakistani civilians killed by Indian fire, as India announces peace initiative"";""BBC Monitoring South Asia,2003-10-22,Pakistan radio reports one killed in shelling by Indian border troops""",Associated Press Newswires;BBC Monitoring South Asia,2003-10-22;2003-10-22,"Five Pakistani civilians killed by Indian fire, as India announces peace initiative;Pakistan radio reports one killed in shelling by Indian border troops",,2,Nakyal village,Dharoti (Mohra Dhrutti) village of Kotli District. Nekyal area,Azad Jammu & Kashmir,Kotli District,33.477313,74.094652,POINT (74.094652 33.477313),177629,Pakistan,770,Asia,1,2,10/21/2003 00:00:00,10/22/2003 00:00:00,0,0,1,0,1,1,1,
